,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
391,"RT @tranxuillity: My country Greece is currently burning. There are no many tags on Twitter so many people don’t even know about the fire. Please, share the tags, this will help to spread the awareness, thank you. 
#PrayForGreece #greecefire #φωτιά_Αιγιάλεια https://t.co/4haeU37BJy",FALSE,0,NA,8/2/2017 14:04,FALSE,NA,8.92748E+17,NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",Trading4_Living,0,FALSE,FALSE,NA,NA
392,"RT @tranxuillity: My country Greece is currently burning. There are no many tags on Twitter so many people don’t even know about the fire. Please, share the tags, this will help to spread the awareness, thank you. 
#PrayForGreece #greecefire #φωτιά_Αιγιάλεια https://t.co/4haeU37BJy",FALSE,0,NA,8/2/2017 14:04,FALSE,NA,8.92748E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",zomgjon,27,TRUE,FALSE,NA,NA
393,RT @jcestars: ‼️GREECE IS BURNING - THREAD WITH LINKS TO DONATE TO / WAYS TO HELP❗PLEASE RT #φωτια #βαρυμπομπη #φωτια_Αιγιαλεια #PrayForGreece #greecefire https://t.co/kakPtjLfPM,FALSE,3,NA,8/2/2017 14:04,FALSE,NA,8.92748E+17,NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",Sandro_power,1,FALSE,FALSE,NA,NA
394,"RT @tranxuillity: My country Greece is currently burning. There are no many tags on Twitter so many people don’t even know about the fire. Please, share the tags, this will help to spread the awareness, thank you. 
#PrayForGreece #greecefire #φωτιά_Αιγιάλεια https://t.co/4haeU37BJy",FALSE,0,NA,8/2/2017 14:04,FALSE,NA,8.92748E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",stmarkovte,708,TRUE,FALSE,NA,NA
395,"RT @Panagiota_V: So, someone attacked the reporters of #opentv the ONLY channel who's speaking the truth of the Greek people and the police was there and didn't help,they were just watching.. @hellenicpolice 
#Greece #greeceisburning #greecefire #Greecewildfires #Πυρκαγια",FALSE,0,NA,8/2/2017 14:04,FALSE,NA,8.92748E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",investentropy,24,TRUE,FALSE,NA,NA
396,"RT @tranxuillity: My country Greece is currently burning. There are no many tags on Twitter so many people don’t even know about the fire. Please, share the tags, this will help to spread the awareness, thank you. 
#PrayForGreece #greecefire #φωτιά_Αιγιάλεια https://t.co/4haeU37BJy",FALSE,0,NA,8/2/2017 14:04,FALSE,NA,8.92748E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ObservationDesk,0,FALSE,FALSE,NA,NA
397,"RT @tranxuillity: My country Greece is currently burning. There are no many tags on Twitter so many people don’t even know about the fire. Please, share the tags, this will help to spread the awareness, thank you. 
#PrayForGreece #greecefire #φωτιά_Αιγιάλεια https://t.co/4haeU37BJy",FALSE,0,NA,8/2/2017 14:04,FALSE,NA,8.92748E+17,NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",themoneyrose,0,FALSE,FALSE,NA,NA
398,"RT @tranxuillity: My country Greece is currently burning. There are no many tags on Twitter so many people don’t even know about the fire. Please, share the tags, this will help to spread the awareness, thank you. 
#PrayForGreece #greecefire #φωτιά_Αιγιάλεια https://t.co/4haeU37BJy",FALSE,0,NA,8/2/2017 14:04,FALSE,NA,8.92748E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sameerbande,1254,TRUE,FALSE,NA,NA
399,RT @jcestars: ‼️GREECE IS BURNING - THREAD WITH LINKS TO DONATE TO / WAYS TO HELP❗PLEASE RT #φωτια #βαρυμπομπη #φωτια_Αιγιαλεια #PrayForGreece #greecefire https://t.co/kakPtjLfPM,FALSE,0,NA,8/2/2017 14:04,FALSE,NA,8.92748E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Traderpeej,708,TRUE,FALSE,NA,NA
400,RT @jcestars: ‼️GREECE IS BURNING - THREAD WITH LINKS TO DONATE TO / WAYS TO HELP❗PLEASE RT #φωτια #βαρυμπομπη #φωτια_Αιγιαλεια #PrayForGreece #greecefire https://t.co/kakPtjLfPM,FALSE,0,NA,8/2/2017 14:04,FALSE,NA,8.92748E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mallen829,24,TRUE,FALSE,NA,NA
